id,title,author,location
556,War and Peace,Barbara Kingsolver,Springfield
557,The Invisible Man,Albert Camus,Quahog
558,The Phantom of the Opera,Albert Camus,Hill Valley
559,Great Expectations,Joseph Heller,Quahog
560,The Sound and the Fury,George Orwell,Hill Valley
561,Villette,Stephen Crane,Quahog
562,The Count of Monte Cristo,Robert Louis Stevenson,Springfield
563,Fahrenheit 451,Stephen Crane,Quahog
564,Wuthering Heights,J.R.R. Tolkien,Springfield
565,The Grapes of Wrath,F. Scott Fitzgerald,Springfield
566,Gone with the Wind,Ray Bradbury,Springfield
567,Song of Solomon,Victor Hugo,Springfield
568,The Odyssey,Jane Austen,Springfield
569,Animal Farm,Nathaniel Hawthorne,Hill Valley
570,Notes from Underground,Kurt Vonnegut,Hill Valley
571,Moby Dick,Jules Verne,Springfield
572,Daisy Miller,Louisa May Alcott,Quahog
573,Dracula,Sylvia Plath,Quahog
574,Pride and Prejudice,Nathaniel Hawthorne,Hill Valley
575,White Fang,Albert Camus,Quahog
576,The Catcher in the Rye,John Steinbeck,Springfield
577,Brave New World,Emily Brontë,Hill Valley
578,The Red Badge of Courage,Sylvia Plath,Quahog
579,The Castle,Louisa May Alcott,Quahog
580,Crime and Punishment,Emily Brontë,Springfield
581,Gone with the Wind,Cormac McCarthy,Quahog
582,Little Women,William Gibson,Springfield
583,The Man in the Iron Mask,Cormac McCarthy,Springfield
584,Sense and Sensibility,Nathaniel Hawthorne,Springfield
585,Slaughterhouse-Five,Aldous Huxley,Quahog
586,The Invisible Man,Emily Brontë,Springfield
587,One Hundred Years of Solitude,Stephen Crane,Hill Valley
588,Journey to the Center of the Earth,Gabriel García Márquez,Hill Valley
589,The Road,Ray Bradbury,Springfield
590,Agnes Grey,Emily Brontë,Springfield
591,Don Quixote,John Steinbeck,Hill Valley
592,Fahrenheit 451,J.D. Salinger,Hill Valley
593,Agnes Grey,Albert Camus,Hill Valley
594,Gone with the Wind,George Orwell,Hill Valley
595,Anna Karenina,George Orwell,Springfield
596,A Tale of Two Cities,William Faulkner,Springfield
597,Around the World in 80 Days,John Steinbeck,Hill Valley
598,The Great Gatsby,Sylvia Plath,Hill Valley
599,The Call of the Wild,Miguel de Cervantes,Hill Valley
600,Blood Meridian,Frances Hodgson Burnett,Quahog
601,Little Women,Oscar Wilde,Springfield
602,1984,Joseph Heller,Hill Valley
603,The Sound and the Fury,Jane Austen,Springfield
604,The Bell Jar,Emily Brontë,Quahog
605,The Hunchback of Notre-Dame,Joseph Heller,Hill Valley
606,Island,Dante Alighieri,Hill Valley
607,Journey to the Center of the Earth,Frances Hodgson Burnett,Hill Valley
608,Catch-22,Paulo Coelho,Springfield
609,Animal Farm,Nathaniel Hawthorne,Hill Valley
610,The Great Gatsby,Zora Neale Hurston,Quahog
611,The Divine Comedy,Ursula K. Le Guin,Springfield
612,The Bell Jar,Dante Alighieri,Quahog
613,Sense and Sensibility,George Orwell,Springfield
614,Beloved,Charlotte Brontë,Springfield
615,Beloved,John Steinbeck,Springfield
616,Catch-22,William Golding,Springfield
617,Moby Dick,Barbara Kingsolver,Quahog
618,Crime and Punishment,Frances Hodgson Burnett,Hill Valley
619,Jane Eyre,Gabriel García Márquez,Quahog
620,Anna Karenina,Cormac McCarthy,Hill Valley
621,The Bell Jar,Nathaniel Hawthorne,Quahog
622,Crime and Punishment,Paulo Coelho,Springfield
623,Their Eyes Were Watching God,Margaret Mitchell,Springfield
624,The Phantom of the Opera,Frances Hodgson Burnett,Hill Valley
625,The Man in the Iron Mask,Kurt Vonnegut,Hill Valley
626,Blood Meridian,William Faulkner,Hill Valley
627,The Call of the Wild,William Gibson,Hill Valley
628,Neuromancer,Charles Dickens,Springfield
629,Sense and Sensibility,Cormac McCarthy,Springfield
630,Fahrenheit 451,William Faulkner,Quahog
631,L'Assommoir,John Steinbeck,Springfield
632,One Hundred Years of Solitude,J.R.R. Tolkien,Springfield
633,Les Misérables,Frank Herbert,Springfield
634,The Three Musketeers,Toni Morrison,Quahog
635,Heart of Darkness,Frank Herbert,Hill Valley
636,Madame Bovary,F. Scott Fitzgerald,Springfield
637,The Three Musketeers,Ray Bradbury,Hill Valley
638,Madame Bovary,Toni Morrison,Quahog
639,Do Androids Dream of Electric Sheep?,Charlotte Brontë,Hill Valley
640,The Road,Louisa May Alcott,Springfield
641,Notes from Underground,Bram Stoker,Springfield
642,Song of Solomon,Bram Stoker,Springfield
643,Persuasion,Joseph Heller,Quahog
644,Little Women,Paulo Coelho,Springfield
645,Around the World in 80 Days,Jules Verne,Springfield
646,Agnes Grey,H.G. Wells,Hill Valley
647,Notes from Underground,Leo Tolstoy,Quahog
648,Notes from Underground,Kurt Vonnegut,Springfield
649,The Hunchback of Notre-Dame,Frances Hodgson Burnett,Hill Valley
650,The Odyssey,Jane Austen,Quahog
651,Sentimental Education,Frances Hodgson Burnett,Hill Valley
652,The War of the Worlds,John Steinbeck,Quahog
653,Moby Dick,George Orwell,Hill Valley
654,Frankenstein,Gabriel García Márquez,Hill Valley
655,The Alchemist,Charles Dickens,Springfield
656,The Grapes of Wrath,Aldous Huxley,Quahog
657,Germinal,Charles Dickens,Springfield
658,Gone with the Wind,Ursula K. Le Guin,Springfield
659,Dracula,Daniel Defoe,Hill Valley
660,Of Mice and Men,Paulo Coelho,Quahog
661,The Castle,Mary Shelley,Springfield
662,Germinal,Herman Melville,Hill Valley
663,The Professor,Ursula K. Le Guin,Springfield
664,Jane Eyre,George Orwell,Quahog
665,Madame Bovary,Alexandre Dumas,Quahog
666,The Red Badge of Courage,Fyodor Dostoevsky,Hill Valley
667,Of Mice and Men,Emily Brontë,Hill Valley
668,Dune,Paulo Coelho,Quahog
669,White Fang,Nathaniel Hawthorne,Springfield
670,The Bell Jar,Dante Alighieri,Springfield
671,Gone with the Wind,John Steinbeck,Quahog
672,L'Assommoir,Joseph Heller,Springfield
673,Les Enfants Terribles,H.G. Wells,Hill Valley
674,Blood Meridian,William Gibson,Hill Valley
675,The Idiot,Emily Brontë,Hill Valley
676,The Catcher in the Rye,Robert Louis Stevenson,Hill Valley
677,The Bell Jar,Joseph Heller,Springfield
678,Sense and Sensibility,William Golding,Hill Valley
679,The Secret Garden,George Orwell,Springfield
680,Robinson Crusoe,Louisa May Alcott,Quahog
681,Persuasion,Daniel Defoe,Hill Valley
682,Crime and Punishment,Louisa May Alcott,Quahog
683,Crime and Punishment,Frances Hodgson Burnett,Hill Valley
684,The Bell Jar,John Steinbeck,Hill Valley
685,Catch-22,Charlotte Brontë,Quahog
686,The Masterpiece,Sylvia Plath,Quahog
687,The Three Musketeers,Jane Austen,Springfield
688,Moby Dick,Charles Dickens,Springfield
689,The Importance of Being Earnest,Margaret Mitchell,Quahog
690,Gone with the Wind,Ernest Hemingway,Quahog
691,The Road,Homer,Hill Valley
692,Treasure Island,Kurt Vonnegut,Hill Valley
693,Bouvard and Pécuchet,Daniel Defoe,Quahog
694,The Sound and the Fury,Frank Herbert,Quahog
695,The Sound and the Fury,Jules Verne,Quahog
696,The Idiot,Cormac McCarthy,Springfield
697,1984,F. Scott Fitzgerald,Springfield
698,Sentimental Education,Jules Verne,Springfield
699,Beloved,Fyodor Dostoevsky,Quahog
700,The Professor,John Steinbeck,Springfield
701,Do Androids Dream of Electric Sheep?,Jane Austen,Springfield
702,The Secret Garden,Toni Morrison,Quahog
703,The Old Man and the Sea,Homer,Quahog
704,Great Expectations,Alexandre Dumas,Quahog
705,Sense and Sensibility,Oscar Wilde,Springfield
706,Villette,Philip K. Dick,Quahog
707,Lord of the Flies,William Faulkner,Quahog
708,East of Eden,Albert Camus,Hill Valley
709,Slaughterhouse-Five,Frank Herbert,Hill Valley
710,Great Expectations,William Gibson,Springfield
711,The Divine Comedy,Ernest Hemingway,Springfield
712,Mansfield Park,Zora Neale Hurston,Springfield
713,The Masterpiece,Homer,Quahog
714,The Old Man and the Sea,Paulo Coelho,Quahog
715,The War of the Worlds,George Orwell,Hill Valley
716,The Idiot,John Steinbeck,Hill Valley
717,Around the World in 80 Days,Oscar Wilde,Springfield
718,Neuromancer,Joseph Heller,Springfield
719,Moby Dick,Albert Camus,Hill Valley
720,Bouvard and Pécuchet,Mary Shelley,Springfield
721,Notes from Underground,Jules Verne,Springfield
722,Sentimental Education,Louisa May Alcott,Springfield
723,Nana,H.G. Wells,Hill Valley
724,Blood Meridian,George Orwell,Hill Valley
725,Sense and Sensibility,Frances Hodgson Burnett,Springfield
726,Beloved,Charles Dickens,Springfield
727,The War of the Worlds,Philip K. Dick,Springfield
728,Moby Dick,Nathaniel Hawthorne,Springfield
729,The Three Musketeers,Margaret Mitchell,Quahog
730,Do Androids Dream of Electric Sheep?,Frank Herbert,Springfield
731,Notes from Underground,Oscar Wilde,Quahog
732,White Fang,Zora Neale Hurston,Quahog
733,The Catcher in the Rye,Dante Alighieri,Springfield
734,Robinson Crusoe,Louisa May Alcott,Hill Valley
735,Of Mice and Men,Herman Melville,Quahog
736,The Importance of Being Earnest,Herman Melville,Quahog
737,East of Eden,Charles Dickens,Quahog
738,Dune,John Steinbeck,Hill Valley
739,The Stranger,Sylvia Plath,Springfield
740,The Secret Garden,Stephen Crane,Springfield
741,Slaughterhouse-Five,Daniel Defoe,Hill Valley
742,The Count of Monte Cristo,Robert Louis Stevenson,Quahog
743,The Idiot,Joseph Heller,Springfield
744,Les Misérables,Kurt Vonnegut,Quahog
745,East of Eden,Oscar Wilde,Hill Valley
746,The Brothers Karamazov,Leo Tolstoy,Quahog
747,Nana,Barbara Kingsolver,Quahog
748,Crime and Punishment,Alexandre Dumas,Quahog
749,1984,George Orwell,Springfield
750,The Count of Monte Cristo,Kurt Vonnegut,Quahog
751,Robinson Crusoe,Robert Louis Stevenson,Quahog
752,Sentimental Education,Homer,Springfield
753,Frankenstein,Leo Tolstoy,Hill Valley
754,L'Assommoir,Cormac McCarthy,Springfield
755,The Stranger,William Gibson,Springfield
756,Catch-22,William Gibson,Quahog
757,Neuromancer,George Orwell,Springfield
758,The Catcher in the Rye,Miguel de Cervantes,Quahog
759,To Kill a Mockingbird,Ernest Hemingway,Hill Valley
760,The Bell Jar,Oscar Wilde,Quahog
761,The Trial,Jane Austen,Springfield
762,The Odyssey,Kurt Vonnegut,Quahog
763,To Kill a Mockingbird,Louisa May Alcott,Springfield
764,The Hobbit,Margaret Mitchell,Quahog
765,Germinal,Robert Louis Stevenson,Quahog
766,Mansfield Park,Ray Bradbury,Springfield
767,The Secret Garden,Kurt Vonnegut,Hill Valley
768,The Professor,George Orwell,Quahog
769,The Trial,H.G. Wells,Springfield
770,The Picture of Dorian Gray,Gabriel García Márquez,Quahog
771,To Kill a Mockingbird,Philip K. Dick,Hill Valley
772,The Trial,Joseph Heller,Springfield
773,East of Eden,Albert Camus,Hill Valley
774,Don Quixote,J.D. Salinger,Springfield
775,Dracula,Philip K. Dick,Quahog
776,Moby Dick,Sylvia Plath,Quahog
777,Lord of the Flies,Sylvia Plath,Quahog
778,Jane Eyre,Charlotte Brontë,Hill Valley
779,The Odyssey,Ernest Hemingway,Quahog
780,The Secret Garden,Stephen Crane,Quahog
781,War and Peace,William Golding,Hill Valley
782,The Idiot,Ernest Hemingway,Springfield
783,The War of the Worlds,Toni Morrison,Hill Valley
784,Persuasion,Alexandre Dumas,Springfield
785,The Hobbit,Toni Morrison,Hill Valley
786,The Picture of Dorian Gray,George Orwell,Hill Valley
787,Little Women,Margaret Mitchell,Hill Valley
788,The Odyssey,Kurt Vonnegut,Hill Valley
789,Rebecca,Victor Hugo,Springfield
790,The Idiot,Bram Stoker,Hill Valley
791,Notes from Underground,Robert Louis Stevenson,Springfield
792,White Fang,Homer,Springfield
793,Heart of Darkness,Aldous Huxley,Springfield
794,Heart of Darkness,Cormac McCarthy,Springfield
795,Robinson Crusoe,F. Scott Fitzgerald,Hill Valley
796,The Trial,Ursula K. Le Guin,Springfield
797,Anna Karenina,Stephen Crane,Springfield
798,The Brothers Karamazov,Stephen Crane,Hill Valley
799,Brave New World,Ray Bradbury,Hill Valley
800,The Castle,Barbara Kingsolver,Hill Valley
801,The Professor,Jane Austen,Hill Valley
802,Song of Solomon,J.R.R. Tolkien,Hill Valley
803,The Bell Jar,Miguel de Cervantes,Hill Valley
804,The Alchemist,Cormac McCarthy,Hill Valley
805,Daisy Miller,Mary Shelley,Hill Valley
806,The Castle,William Golding,Quahog
807,Frankenstein,Ursula K. Le Guin,Quahog
808,Treasure Island,William Golding,Springfield
809,The Alchemist,Nathaniel Hawthorne,Quahog
810,The Brothers Karamazov,Harper Lee,Quahog
811,Dracula,Ursula K. Le Guin,Springfield
812,Les Misérables,Dante Alighieri,Hill Valley
813,Little Women,Frank Herbert,Hill Valley
814,Their Eyes Were Watching God,Charlotte Brontë,Quahog
815,Of Mice and Men,Victor Hugo,Hill Valley
816,The Invisible Man,Sylvia Plath,Springfield
817,The Red Badge of Courage,Sylvia Plath,Springfield
818,Jane Eyre,Paulo Coelho,Hill Valley
819,Beloved,Dante Alighieri,Quahog
820,Moby Dick,J.D. Salinger,Quahog
821,The Phantom of the Opera,Frances Hodgson Burnett,Quahog
822,The Three Musketeers,Kurt Vonnegut,Hill Valley
823,Daisy Miller,Bram Stoker,Quahog
824,Dune,Barbara Kingsolver,Springfield
825,The Alchemist,Stephen Crane,Springfield
826,Dracula,Miguel de Cervantes,Quahog
827,Animal Farm,Sylvia Plath,Quahog
828,Little Women,Daniel Defoe,Quahog
829,Song of Solomon,Miguel de Cervantes,Springfield
830,Animal Farm,Harper Lee,Hill Valley
831,Great Expectations,Daniel Defoe,Hill Valley
832,Frankenstein,Homer,Springfield
833,Les Enfants Terribles,Miguel de Cervantes,Quahog
834,Island,F. Scott Fitzgerald,Hill Valley
835,The Time Machine,Paulo Coelho,Quahog
836,Northanger Abbey,Margaret Mitchell,Quahog
837,Persuasion,Stephen Crane,Hill Valley
838,Great Expectations,Margaret Mitchell,Hill Valley
839,Don Quixote,Dante Alighieri,Hill Valley
840,The Bell Jar,Zora Neale Hurston,Springfield
841,The Brothers Karamazov,Harper Lee,Quahog
842,One Hundred Years of Solitude,William Gibson,Quahog
843,A Scanner Darkly,Gabriel García Márquez,Springfield
844,The Brothers Karamazov,Charlotte Brontë,Hill Valley
845,A Scanner Darkly,William Faulkner,Hill Valley
846,The Scarlet Letter,J.D. Salinger,Springfield
847,A Tale of Two Cities,Homer,Springfield
848,The Man in the Iron Mask,Philip K. Dick,Quahog
849,Notes from Underground,Joseph Heller,Quahog
850,Robinson Crusoe,William Faulkner,Hill Valley
851,A Tale of Two Cities,William Golding,Quahog
852,The Red Badge of Courage,Bram Stoker,Quahog
853,One Hundred Years of Solitude,Aldous Huxley,Quahog
854,The Stranger,George Orwell,Springfield
855,The Secret Garden,Sylvia Plath,Springfield
856,Emma,Robert Louis Stevenson,Springfield
857,Brave New World,Frank Herbert,Quahog
858,Do Androids Dream of Electric Sheep?,J.D. Salinger,Quahog
859,Heart of Darkness,Jules Verne,Springfield
860,The Masterpiece,Charles Dickens,Quahog
861,War and Peace,Charlotte Brontë,Quahog
862,Brave New World,Paulo Coelho,Springfield
863,Don Quixote,Dante Alighieri,Springfield
864,The Secret Garden,George Orwell,Springfield
865,The Professor,George Orwell,Quahog
866,Blood Meridian,F. Scott Fitzgerald,Hill Valley
867,Robinson Crusoe,Stephen Crane,Quahog
868,Island,Ursula K. Le Guin,Quahog
869,Neuromancer,Barbara Kingsolver,Hill Valley
870,A Scanner Darkly,Oscar Wilde,Springfield
871,Anna Karenina,Cormac McCarthy,Hill Valley
872,War and Peace,Leo Tolstoy,Hill Valley
873,The Catcher in the Rye,F. Scott Fitzgerald,Quahog
874,The Castle,Herman Melville,Quahog
875,Daisy Miller,Dante Alighieri,Quahog
876,Notes from Underground,Philip K. Dick,Hill Valley
877,Persuasion,Ursula K. Le Guin,Springfield
878,Lord of the Flies,Gabriel García Márquez,Hill Valley
879,Sentimental Education,Ernest Hemingway,Quahog
880,The Hobbit,Barbara Kingsolver,Springfield
881,Slaughterhouse-Five,Leo Tolstoy,Quahog
882,The Idiot,Oscar Wilde,Hill Valley
883,Great Expectations,Alexandre Dumas,Quahog
884,War and Peace,Paulo Coelho,Springfield
885,Robinson Crusoe,Charlotte Brontë,Quahog
886,The Masterpiece,Fyodor Dostoevsky,Springfield
887,Lord of the Flies,Frances Hodgson Burnett,Quahog
888,Beloved,Jane Austen,Hill Valley
889,Bouvard and Pécuchet,William Faulkner,Springfield
890,Of Mice and Men,Margaret Mitchell,Hill Valley
891,Villette,Ursula K. Le Guin,Springfield
892,Don Quixote,Paulo Coelho,Quahog
893,Anna Karenina,Frank Herbert,Quahog
894,The Idiot,Aldous Huxley,Hill Valley
895,Twenty Thousand Leagues Under the Sea,Oscar Wilde,Hill Valley
896,Animal Farm,Albert Camus,Springfield
897,Their Eyes Were Watching God,F. Scott Fitzgerald,Quahog
898,Do Androids Dream of Electric Sheep?,Frances Hodgson Burnett,Springfield
899,The Importance of Being Earnest,William Golding,Springfield
900,Agnes Grey,H.G. Wells,Springfield
901,The Trial,Aldous Huxley,Springfield
902,Of Mice and Men,Jules Verne,Hill Valley
903,One Hundred Years of Solitude,Fyodor Dostoevsky,Springfield
904,Sense and Sensibility,Stephen Crane,Springfield
905,Dracula,Emily Brontë,Springfield
906,Neuromancer,Gabriel García Márquez,Springfield
907,The Odyssey,Homer,Quahog
908,Dune,Gabriel García Márquez,Springfield
909,The Red Badge of Courage,Leo Tolstoy,Quahog
910,The Odyssey,Ray Bradbury,Hill Valley
911,The Three Musketeers,Stephen Crane,Springfield
912,The Importance of Being Earnest,Alexandre Dumas,Hill Valley
913,Don Quixote,William Faulkner,Springfield
914,Frankenstein,J.D. Salinger,Quahog
915,The Great Gatsby,William Gibson,Springfield
916,Treasure Island,Ray Bradbury,Hill Valley
917,The Trial,Frank Herbert,Hill Valley
918,Catch-22,Victor Hugo,Hill Valley
919,Northanger Abbey,Robert Louis Stevenson,Springfield
920,Catch-22,Philip K. Dick,Springfield
921,Northanger Abbey,Homer,Hill Valley
922,Nana,Victor Hugo,Springfield
923,Rebecca,Alexandre Dumas,Hill Valley
924,Fahrenheit 451,Miguel de Cervantes,Springfield
925,The Idiot,Sylvia Plath,Hill Valley
926,The Catcher in the Rye,Charles Dickens,Quahog
927,The Count of Monte Cristo,Sylvia Plath,Hill Valley
928,Germinal,Victor Hugo,Quahog
929,Lord of the Flies,Harper Lee,Hill Valley
930,Jane Eyre,Alexandre Dumas,Springfield
931,Blood Meridian,F. Scott Fitzgerald,Springfield
932,Lord of the Flies,Miguel de Cervantes,Hill Valley
933,Dracula,Stephen Crane,Hill Valley
934,The Idiot,Dante Alighieri,Hill Valley
935,To Kill a Mockingbird,Philip K. Dick,Hill Valley
936,The Divine Comedy,Leo Tolstoy,Springfield
937,Frankenstein,J.R.R. Tolkien,Quahog
938,The Man in the Iron Mask,Ray Bradbury,Hill Valley
939,Don Quixote,Charlotte Brontë,Springfield
940,The Red Badge of Courage,John Steinbeck,Quahog
941,Little Women,Barbara Kingsolver,Springfield
942,Around the World in 80 Days,Albert Camus,Springfield
943,Notes from Underground,Paulo Coelho,Hill Valley
944,Twenty Thousand Leagues Under the Sea,Philip K. Dick,Hill Valley
945,Nana,Charles Dickens,Quahog
946,Their Eyes Were Watching God,Daniel Defoe,Quahog
947,The Hobbit,Toni Morrison,Quahog
948,The Brothers Karamazov,Frank Herbert,Quahog
949,The Alchemist,Harper Lee,Hill Valley
950,Little Women,Oscar Wilde,Springfield
951,Lord of the Flies,Louisa May Alcott,Quahog
952,The Idiot,Harper Lee,Hill Valley
953,The Importance of Being Earnest,Robert Louis Stevenson,Quahog
954,Wuthering Heights,Oscar Wilde,Quahog
955,Song of Solomon,Charlotte Brontë,Quahog
956,Wuthering Heights,John Steinbeck,Hill Valley
957,The Alchemist,J.D. Salinger,Hill Valley
958,Persuasion,Charlotte Brontë,Springfield
959,L'Assommoir,Toni Morrison,Quahog
960,The Sound and the Fury,Ernest Hemingway,Quahog
961,War and Peace,Nathaniel Hawthorne,Quahog
962,One Hundred Years of Solitude,Herman Melville,Hill Valley
963,The Secret Garden,Paulo Coelho,Springfield
964,The Castle,Leo Tolstoy,Hill Valley
965,The Man in the Iron Mask,Harper Lee,Springfield
966,The Time Machine,J.R.R. Tolkien,Hill Valley
967,Agnes Grey,William Gibson,Springfield
968,Sentimental Education,Sylvia Plath,Hill Valley
969,Daisy Miller,Paulo Coelho,Quahog
970,The Road,William Faulkner,Springfield
971,The Picture of Dorian Gray,Mary Shelley,Hill Valley
972,War and Peace,Charlotte Brontë,Hill Valley
973,The Odyssey,Joseph Heller,Springfield
974,The Stranger,H.G. Wells,Hill Valley
975,Dracula,Victor Hugo,Springfield
976,Mansfield Park,J.R.R. Tolkien,Hill Valley
977,The Professor,Nathaniel Hawthorne,Quahog
978,Frankenstein,Ursula K. Le Guin,Quahog
979,To Kill a Mockingbird,H.G. Wells,Quahog
980,Les Enfants Terribles,Zora Neale Hurston,Hill Valley
981,1984,Aldous Huxley,Quahog
982,One Hundred Years of Solitude,Toni Morrison,Quahog
983,The War of the Worlds,Albert Camus,Hill Valley
984,Dune,Miguel de Cervantes,Hill Valley
985,The Old Man and the Sea,Aldous Huxley,Hill Valley
986,Crime and Punishment,Frank Herbert,Springfield
987,The Red Badge of Courage,Kurt Vonnegut,Springfield
988,Agnes Grey,George Orwell,Springfield
989,Northanger Abbey,Herman Melville,Quahog
990,Great Expectations,Gabriel García Márquez,Springfield
991,Rebecca,Margaret Mitchell,Springfield
992,A Scanner Darkly,Emily Brontë,Hill Valley
993,Les Enfants Terribles,Homer,Hill Valley
994,Sentimental Education,George Orwell,Quahog
995,The Alchemist,Margaret Mitchell,Springfield
996,Blood Meridian,William Golding,Springfield
997,Crime and Punishment,J.R.R. Tolkien,Hill Valley
998,Northanger Abbey,Ernest Hemingway,Springfield
999,Germinal,J.D. Salinger,Quahog
1000,The Odyssey,Ray Bradbury,Springfield
